.
├── 00_tree.txt
├── 01_ext_stats.txt
├── 02_cloc.md
├── 02_loc_quick.txt
├── 03_node_deps.txt
├── 04_py_deps.txt
├── 05_routes.txt
├── 06_env_vars.txt
├── 07_large_assets.txt
├── 08_meta_tags.txt
├── 09_missing_alt.txt
├── 10_todos.txt
├── 11_db_schema.txt
├── app
│   ├── config.py
│   ├── __init__.py
│   ├── models.py
│   ├── __pycache__
│   │   └── __init__.cpython-313.pyc
│   ├── routes
│   │   ├── api.py
│   │   ├── __init__.py
│   │   ├── main.py
│   │   ├── __pycache__
│   │   └── sms.py
│   ├── static
│   │   ├── back_to_top_ball.js
│   │   ├── connect-atx-story-poster.jpg
│   │   ├── connect-atx-story-poster.png
│   │   ├── connect-atx-story-poster.svg
│   │   ├── connect-atx-story-poster.svg:Zone.Identifier
│   │   ├── connect-atx-team.jpg
│   │   ├── css
│   │   ├── darkmode-toggle.js
│   │   ├── favicon.ico
│   │   ├── fundraising-hud.js
│   │   ├── globals.css
│   │   ├── gym-chutes.jpg
│   │   ├── js
│   │   ├── logo-converted.png
│   │   ├── logo-hero.png
│   │   ├── logo-hero.webp
│   │   ├── logo.png
│   │   ├── main.js
│   │   ├── newsletter.js
│   │   ├── offline.html
│   │   ├── partials
│   │   ├── qr-sponsor.png
│   │   ├── qr-sponsorship-deck.png
│   │   ├── qr-website.png
│   │   ├── sponsors
│   │   ├── sw.js
│   │   ├── tailwind.min.css
│   │   ├── team-huddle-fallback.jpg
│   │   ├── theconnectatxelitepremieryouthbasketball.avif
│   │   └── tiers_v2
│   └── templates
│       ├── base.html
│       ├── index.html
│       ├── offline.html
│       └── partials
├── audit.sh
├── bootstrap-dev.sh
├── connect_atx_elite
│   ├── node_modules
│   │   ├── acorn
│   │   ├── acorn-jsx
│   │   ├── ajv
│   │   ├── ansi-regex
│   │   ├── ansi-styles
│   │   ├── argparse
│   │   ├── array-buffer-byte-length
│   │   ├── arraybuffer.prototype.slice
│   │   ├── async-function
│   │   ├── autoprefixer
│   │   ├── available-typed-arrays
│   │   ├── balanced-match
│   │   ├── brace-expansion
│   │   ├── browserslist
│   │   ├── call-bind
│   │   ├── call-bind-apply-helpers
│   │   ├── call-bound
│   │   ├── callsites
│   │   ├── caniuse-lite
│   │   ├── chalk
│   │   ├── color-convert
│   │   ├── color-name
│   │   ├── concat-map
│   │   ├── cross-spawn
│   │   ├── data-view-buffer
│   │   ├── data-view-byte-length
│   │   ├── data-view-byte-offset
│   │   ├── debug
│   │   ├── deep-is
│   │   ├── define-data-property
│   │   ├── define-properties
│   │   ├── doctrine
│   │   ├── dunder-proto
│   │   ├── eastasianwidth
│   │   ├── electron-to-chromium
│   │   ├── emoji-regex
│   │   ├── error-ex
│   │   ├── es-abstract
│   │   ├── @esbuild
│   │   ├── esbuild
│   │   ├── escalade
│   │   ├── escape-string-regexp
│   │   ├── es-define-property
│   │   ├── es-errors
│   │   ├── @eslint
│   │   ├── eslint
│   │   ├── @eslint-community
│   │   ├── eslint-config-prettier
│   │   ├── eslint-plugin-prettier
│   │   ├── eslint-scope
│   │   ├── eslint-visitor-keys
│   │   ├── es-object-atoms
│   │   ├── espree
│   │   ├── esquery
│   │   ├── esrecurse
│   │   ├── es-set-tostringtag
│   │   ├── es-to-primitive
│   │   ├── estraverse
│   │   ├── esutils
│   │   ├── fast-deep-equal
│   │   ├── fast-diff
│   │   ├── fast-json-stable-stringify
│   │   ├── fast-levenshtein
│   │   ├── fastq
│   │   ├── file-entry-cache
│   │   ├── find-up
│   │   ├── flat-cache
│   │   ├── flatted
│   │   ├── for-each
│   │   ├── foreground-child
│   │   ├── fraction.js
│   │   ├── fs.realpath
│   │   ├── function-bind
│   │   ├── function.prototype.name
│   │   ├── functions-have-names
│   │   ├── get-intrinsic
│   │   ├── get-proto
│   │   ├── get-symbol-description
│   │   ├── glob
│   │   ├── globals
│   │   ├── globalthis
│   │   ├── glob-parent
│   │   ├── gopd
│   │   ├── graceful-fs
│   │   ├── graphemer
│   │   ├── has-bigints
│   │   ├── has-flag
│   │   ├── hasown
│   │   ├── has-property-descriptors
│   │   ├── has-proto
│   │   ├── has-symbols
│   │   ├── has-tostringtag
│   │   ├── hosted-git-info
│   │   ├── @humanwhocodes
│   │   ├── ignore
│   │   ├── import-fresh
│   │   ├── imurmurhash
│   │   ├── inflight
│   │   ├── inherits
│   │   ├── internal-slot
│   │   ├── @isaacs
│   │   ├── isarray
│   │   ├── is-array-buffer
│   │   ├── is-arrayish
│   │   ├── is-async-function
│   │   ├── is-bigint
│   │   ├── is-boolean-object
│   │   ├── is-callable
│   │   ├── is-core-module
│   │   ├── is-data-view
│   │   ├── is-date-object
│   │   ├── isexe
│   │   ├── is-extglob
│   │   ├── is-finalizationregistry
│   │   ├── is-fullwidth-code-point
│   │   ├── is-generator-function
│   │   ├── is-glob
│   │   ├── is-map
│   │   ├── is-negative-zero
│   │   ├── is-number-object
│   │   ├── is-path-inside
│   │   ├── is-regex
│   │   ├── is-set
│   │   ├── is-shared-array-buffer
│   │   ├── is-string
│   │   ├── is-symbol
│   │   ├── is-typed-array
│   │   ├── is-weakmap
│   │   ├── is-weakref
│   │   ├── is-weakset
│   │   ├── jackspeak
│   │   ├── json-buffer
│   │   ├── json-parse-better-errors
│   │   ├── json-schema-traverse
│   │   ├── json-stable-stringify-without-jsonify
│   │   ├── js-yaml
│   │   ├── keyv
│   │   ├── levn
│   │   ├── load-json-file
│   │   ├── locate-path
│   │   ├── lodash.merge
│   │   ├── lru-cache
│   │   ├── math-intrinsics
│   │   ├── memorystream
│   │   ├── minimatch
│   │   ├── minipass
│   │   ├── ms
│   │   ├── nanoid
│   │   ├── natural-compare
